hour,price,charge_mw,discharge_mw,soc_mwh,ts,actual_price,predicted_price,forecast_error,daily_profit
11,53.2,4.691358,0.0,72.0,2024-01-05 11:00:00,41.35,53.2,-11.850000000000001,0.0
12,39.45,20.0,0.0,90.0,2024-01-05 12:00:00,42.39,39.45,2.9399999999999977,0.0
13,60.38,0.0,0.0,90.0,2024-01-05 13:00:00,84.19,60.38,23.809999999999995,0.0
14,70.41,0.0,16.2,72.0,2024-01-05 14:00:00,80.41,70.41,10.0,0.0
15,51.61,20.0,0.0,90.0,2024-01-05 15:00:00,87.62,51.61,36.010000000000005,0.0
16,99.59,0.0,20.0,67.777778,2024-01-05 16:00:00,71.68,99.59,-27.909999999999997,0.0
17,83.88,0.0,0.0,67.777778,2024-01-05 17:00:00,122.38,83.88,38.5,0.0
18,116.56,0.0,20.0,45.555556,2024-01-05 18:00:00,102.18,116.56,-14.379999999999995,0.0
19,96.19,0.0,3.0,42.222222,2024-01-05 19:00:00,110.1,96.19,13.909999999999997,0.0
20,114.63,0.0,20.0,20.0,2024-01-05 20:00:00,101.32,114.63,-13.310000000000002,0.0
21,78.96,0.0,0.0,20.0,2024-01-05 21:00:00,101.39,78.96,22.430000000000007,0.0
22,59.0,0.0,0.0,20.0,2024-01-05 22:00:00,67.69,59.0,8.689999999999998,0.0
23,59.63,0.0,0.0,20.0,2024-01-05 23:00:00,55.54,59.63,-4.090000000000003,0.0
0,27.89,20.0,0.0,68.0,2024-01-06 00:00:00,30.48,27.89,2.59,4284.297998700001
1,47.17,0.0,20.0,45.777778,2024-01-06 01:00:00,8.99,47.17,-38.18,0.0
2,32.34,20.0,0.0,63.777778,2024-01-06 02:00:00,-2.48,32.34,-34.82,0.0
3,30.29,20.0,0.0,81.777778,2024-01-06 03:00:00,24.58,30.29,-5.710000000000001,0.0
4,40.48,0.0,0.0,81.777778,2024-01-06 04:00:00,13.74,40.48,-26.739999999999995,0.0
5,34.07,9.1358025,0.0,90.0,2024-01-06 05:00:00,40.12,34.07,6.049999999999997,0.0
6,49.77,0.0,0.0,90.0,2024-01-06 06:00:00,43.34,49.77,-6.43,0.0
7,57.55,0.0,16.2,72.0,2024-01-06 07:00:00,40.95,57.55,-16.599999999999994,0.0
8,26.32,20.0,0.0,90.0,2024-01-06 08:00:00,30.62,26.32,4.300000000000001,0.0
9,71.94,0.0,12.4,76.222222,2024-01-06 09:00:00,57.62,71.94,-14.32,0.0
10,74.35,0.0,20.0,54.0,2024-01-06 10:00:00,51.13,74.35,-23.21999999999999,0.0
11,41.35,20.0,0.0,72.0,2024-01-06 11:00:00,39.8,41.35,-1.5500000000000043,0.0
12,42.39,20.0,0.0,90.0,2024-01-06 12:00:00,80.27,42.39,37.879999999999995,0.0
13,84.19,0.0,0.0,90.0,2024-01-06 13:00:00,56.45,84.19,-27.739999999999995,0.0
14,80.41,0.0,0.0,90.0,2024-01-06 14:00:00,47.89,80.41,-32.519999999999996,0.0
15,87.62,0.0,0.0,90.0,2024-01-06 15:00:00,60.7,87.62,-26.92,0.0
16,71.68,0.0,0.0,90.0,2024-01-06 16:00:00,57.16,71.68,-14.52000000000001,0.0
17,122.38,0.0,20.0,67.777778,2024-01-06 17:00:00,104.53,122.38,-17.849999999999994,0.0
18,102.18,0.0,20.0,45.555556,2024-01-06 18:00:00,109.06,102.18,6.8799999999999955,0.0
19,110.1,0.0,20.0,23.333333,2024-01-06 19:00:00,106.87,110.1,-3.2299999999999898,0.0
20,101.32,0.0,0.0,23.333333,2024-01-06 20:00:00,89.89,101.32,-11.429999999999993,0.0
21,101.39,0.0,3.0,20.0,2024-01-06 21:00:00,82.74,101.39,-18.650000000000006,0.0
22,67.69,0.0,0.0,20.0,2024-01-06 22:00:00,47.92,67.69,-19.769999999999996,0.0
23,55.54,0.0,0.0,20.0,2024-01-06 23:00:00,45.36,55.54,-10.18,0.0
0,30.48,0.0,12.6,36.0,2024-01-07 00:00:00,23.18,30.48,-7.300000000000001,3134.6731865200018
1,8.99,20.0,0.0,54.0,2024-01-07 01:00:00,26.98,8.99,17.990000000000002,0.0
2,-2.48,20.0,0.0,72.0,2024-01-07 02:00:00,28.89,-2.48,31.37,0.0
3,24.58,0.0,0.0,72.0,2024-01-07 03:00:00,-10.35,24.58,-34.93,0.0
4,13.74,20.0,0.0,90.0,2024-01-07 04:00:00,21.21,13.74,7.470000000000001,0.0
5,40.12,0.0,0.0,90.0,2024-01-07 05:00:00,37.93,40.12,-2.1899999999999977,0.0
6,43.34,0.0,16.2,72.0,2024-01-07 06:00:00,38.01,43.34,-5.330000000000005,0.0
7,40.95,0.0,0.0,72.0,2024-01-07 07:00:00,37.67,40.95,-3.280000000000001,0.0
8,30.62,20.0,0.0,90.0,2024-01-07 08:00:00,52.04,30.62,21.419999999999998,0.0
9,57.62,0.0,16.2,72.0,2024-01-07 09:00:00,38.34,57.62,-19.279999999999994,0.0
10,51.13,0.0,0.0,72.0,2024-01-07 10:00:00,-16.37,51.13,-67.5,0.0
11,39.8,20.0,0.0,90.0,2024-01-07 11:00:00,69.16,39.8,29.36,0.0
12,80.27,0.0,20.0,67.777778,2024-01-07 12:00:00,70.13,80.27,-10.14,0.0
13,56.45,4.691358,0.0,72.0,2024-01-07 13:00:00,52.06,56.45,-4.390000000000001,0.0
14,47.89,20.0,0.0,90.0,2024-01-07 14:00:00,58.78,47.89,10.89,0.0
15,60.7,0.0,0.0,90.0,2024-01-07 15:00:00,77.14,60.7,16.439999999999998,0.0
16,57.16,0.0,0.0,90.0,2024-01-07 16:00:00,74.22,57.16,17.060000000000002,0.0
17,104.53,0.0,20.0,67.777778,2024-01-07 17:00:00,93.41,104.53,-11.120000000000005,0.0
18,109.06,0.0,20.0,45.555556,2024-01-07 18:00:00,103.7,109.06,-5.359999999999999,0.0
19,106.87,0.0,20.0,23.333333,2024-01-07 19:00:00,93.84,106.87,-13.030000000000001,0.0
20,89.89,0.0,3.0,20.0,2024-01-07 20:00:00,91.65,89.89,1.7600000000000051,0.0
21,82.74,0.0,0.0,20.0,2024-01-07 21:00:00,55.5,82.74,-27.239999999999995,0.0
22,47.92,0.0,0.0,20.0,2024-01-07 22:00:00,53.61,47.92,5.689999999999998,0.0
23,45.36,0.0,0.0,20.0,2024-01-07 23:00:00,37.66,45.36,-7.700000000000003,0.0
0,23.18,4.4444444,0.0,54.0,2024-01-08 00:00:00,34.52,23.18,11.340000000000003,4121.442102391999
1,26.98,0.0,0.0,54.0,2024-01-08 01:00:00,25.42,26.98,-1.5599999999999987,0.0
2,28.89,0.0,0.0,54.0,2024-01-08 02:00:00,40.09,28.89,11.200000000000003,0.0
3,-10.35,20.0,0.0,72.0,2024-01-08 03:00:00,38.88,-10.35,49.230000000000004,0.0
4,21.21,20.0,0.0,90.0,2024-01-08 04:00:00,30.41,21.21,9.2,0.0
5,37.93,0.0,0.0,90.0,2024-01-08 05:00:00,28.25,37.93,-9.68,0.0
6,38.01,0.0,0.0,90.0,2024-01-08 06:00:00,32.93,38.01,-5.079999999999998,0.0
7,37.67,0.0,0.0,90.0,2024-01-08 07:00:00,50.17,37.67,12.5,0.0
8,52.04,0.0,20.0,67.777778,2024-01-08 08:00:00,61.74,52.04,9.700000000000003,0.0
9,38.34,4.691358,0.0,72.0,2024-01-08 09:00:00,79.14,38.34,40.8,0.0
10,-16.37,20.0,0.0,90.0,2024-01-08 10:00:00,62.64,-16.37,79.01,0.0
11,69.16,0.0,0.0,90.0,2024-01-08 11:00:00,50.99,69.16,-18.169999999999995,0.0
12,70.13,0.0,16.2,72.0,2024-01-08 12:00:00,66.15,70.13,-3.9799999999999898,0.0
13,52.06,20.0,0.0,90.0,2024-01-08 13:00:00,82.69,52.06,30.629999999999995,0.0
14,58.78,0.0,0.0,90.0,2024-01-08 14:00:00,65.02,58.78,6.239999999999995,0.0
15,77.14,0.0,0.0,90.0,2024-01-08 15:00:00,92.9,77.14,15.760000000000005,0.0
16,74.22,0.0,0.0,90.0,2024-01-08 16:00:00,90.77,74.22,16.549999999999997,0.0
17,93.41,0.0,20.0,67.777778,2024-01-08 17:00:00,108.61,93.41,15.200000000000003,0.0
18,103.7,0.0,20.0,45.555556,2024-01-08 18:00:00,135.44,103.7,31.739999999999995,0.0
19,93.84,0.0,20.0,23.333333,2024-01-08 19:00:00,90.33,93.84,-3.510000000000005,0.0
20,91.65,0.0,3.0,20.0,2024-01-08 20:00:00,107.06,91.65,15.409999999999997,0.0
21,55.5,0.0,0.0,20.0,2024-01-08 21:00:00,75.5,55.5,20.0,0.0
22,53.61,0.0,0.0,20.0,2024-01-08 22:00:00,50.83,53.61,-2.780000000000001,0.0
23,37.66,0.0,0.0,20.0,2024-01-08 23:00:00,48.96,37.66,11.300000000000004,0.0
0,34.52,0.0,0.0,50.0,2024-01-09 00:00:00,59.06,34.52,24.54,3965.910446748
1,25.42,20.0,0.0,68.0,2024-01-09 01:00:00,53.78,25.42,28.36,0.0
2,40.09,0.0,0.0,68.0,2024-01-09 02:00:00,15.12,40.09,-24.970000000000006,0.0
3,38.88,0.0,0.0,68.0,2024-01-09 03:00:00,32.51,38.88,-6.3700000000000045,0.0
4,30.41,4.4444444,0.0,72.0,2024-01-09 04:00:00,49.83,30.41,19.419999999999998,0.0
5,28.25,20.0,0.0,90.0,2024-01-09 05:00:00,46.0,28.25,17.75,0.0
6,32.93,0.0,0.0,90.0,2024-01-09 06:00:00,54.03,32.93,21.1,0.0
7,50.17,0.0,0.0,90.0,2024-01-09 07:00:00,36.46,50.17,-13.71,0.0
8,61.74,0.0,0.0,90.0,2024-01-09 08:00:00,45.29,61.74,-16.450000000000003,0.0
9,79.14,0.0,16.2,72.0,2024-01-09 09:00:00,44.93,79.14,-34.21,0.0
10,62.64,0.0,0.0,72.0,2024-01-09 10:00:00,39.63,62.64,-23.009999999999998,0.0
11,50.99,20.0,0.0,90.0,2024-01-09 11:00:00,55.85,50.99,4.859999999999999,0.0
12,66.15,0.0,0.0,90.0,2024-01-09 12:00:00,53.64,66.15,-12.510000000000005,0.0
13,82.69,0.0,0.0,90.0,2024-01-09 13:00:00,60.85,82.69,-21.839999999999996,0.0
14,65.02,0.0,0.0,90.0,2024-01-09 14:00:00,65.33,65.02,0.3100000000000023,0.0
15,92.9,0.0,3.0,86.666667,2024-01-09 15:00:00,93.6,92.9,0.6999999999999886,0.0
16,90.77,0.0,0.0,86.666667,2024-01-09 16:00:00,-29.52,90.77,-120.28999999999999,0.0
17,108.61,0.0,20.0,64.444444,2024-01-09 17:00:00,118.96,108.61,10.349999999999994,0.0
18,135.44,0.0,20.0,42.222222,2024-01-09 18:00:00,106.44,135.44,-29.0,0.0
19,90.33,0.0,0.0,42.222222,2024-01-09 19:00:00,117.77,90.33,27.439999999999998,0.0
20,107.06,0.0,20.0,20.0,2024-01-09 20:00:00,103.53,107.06,-3.530000000000001,0.0
21,75.5,0.0,0.0,20.0,2024-01-09 21:00:00,70.04,75.5,-5.459999999999994,0.0
22,50.83,0.0,0.0,20.0,2024-01-09 22:00:00,61.92,50.83,11.090000000000003,0.0
23,48.96,0.0,0.0,20.0,2024-01-09 23:00:00,45.47,48.96,-3.490000000000002,0.0
0,59.06,0.0,20.0,27.777778,2024-01-10 00:00:00,46.72,59.06,-12.340000000000003,4554.916000000001
1,53.78,0.0,0.0,27.777778,2024-01-10 01:00:00,246.25,53.78,192.47,0.0
2,15.12,20.0,0.0,45.777778,2024-01-10 02:00:00,28.47,15.12,13.35,0.0
3,32.51,20.0,0.0,63.777778,2024-01-10 03:00:00,39.13,32.51,6.6200000000000045,0.0
4,49.83,0.0,0.0,63.777778,2024-01-10 04:00:00,47.34,49.83,-2.489999999999995,0.0
5,46.0,0.0,0.0,63.777778,2024-01-10 05:00:00,69.53,46.0,23.53,0.0
6,54.03,0.0,8.8,54.0,2024-01-10 06:00:00,53.51,54.03,-0.5200000000000031,0.0
7,36.46,20.0,0.0,72.0,2024-01-10 07:00:00,53.16,36.46,16.699999999999996,0.0
8,45.29,0.0,0.0,72.0,2024-01-10 08:00:00,63.75,45.29,18.46,0.0
9,44.93,0.0,0.0,72.0,2024-01-10 09:00:00,47.98,44.93,3.049999999999997,0.0
10,39.63,20.0,0.0,90.0,2024-01-10 10:00:00,38.33,39.63,-1.3000000000000043,0.0
11,55.85,0.0,0.0,90.0,2024-01-10 11:00:00,60.92,55.85,5.07,0.0
12,53.64,0.0,0.0,90.0,2024-01-10 12:00:00,83.91,53.64,30.269999999999996,0.0
13,60.85,0.0,0.0,90.0,2024-01-10 13:00:00,87.16,60.85,26.309999999999995,0.0
14,65.33,0.0,0.0,90.0,2024-01-10 14:00:00,54.68,65.33,-10.649999999999999,0.0
15,93.6,0.0,16.2,72.0,2024-01-10 15:00:00,87.59,93.6,-6.009999999999991,0.0
16,-29.52,20.0,0.0,90.0,2024-01-10 16:00:00,62.31,-29.52,91.83,0.0
17,118.96,0.0,20.0,67.777778,2024-01-10 17:00:00,105.9,118.96,-13.059999999999988,0.0
18,106.44,0.0,20.0,45.555556,2024-01-10 18:00:00,117.53,106.44,11.090000000000003,0.0
19,117.77,0.0,20.0,23.333333,2024-01-10 19:00:00,89.06,117.77,-28.709999999999994,0.0
20,103.53,0.0,3.0,20.0,2024-01-10 20:00:00,108.29,103.53,4.760000000000005,0.0
21,70.04,0.0,0.0,20.0,2024-01-10 21:00:00,103.12,70.04,33.08,0.0
22,61.92,0.0,0.0,20.0,2024-01-10 22:00:00,64.95,61.92,3.030000000000001,0.0
23,45.47,0.0,0.0,20.0,2024-01-10 23:00:00,51.46,45.47,5.990000000000002,0.0
0,46.72,20.0,0.0,68.0,2024-01-11 00:00:00,60.12,46.72,13.399999999999999,3285.814541749999
1,246.25,0.0,20.0,45.777778,2024-01-11 01:00:00,26.2,246.25,-220.05,0.0
2,28.47,20.0,0.0,63.777778,2024-01-11 02:00:00,26.25,28.47,-2.219999999999999,0.0
3,39.13,20.0,0.0,81.777778,2024-01-11 03:00:00,30.8,39.13,-8.330000000000002,0.0
4,47.34,9.1358025,0.0,90.0,2024-01-11 04:00:00,45.3,47.34,-2.0400000000000063,0.0
5,69.53,0.0,20.0,67.777778,2024-01-11 05:00:00,51.09,69.53,-18.439999999999998,0.0
